county,fips,longitude,latitude,consortium,year,elderly calfresh,age 18-59 calfresh,children calfresh,esl calfresh,wic recipients reachable,pct receiving wic,total population,elderly population,children population,esl population,ssi recipients,total_calfresh,calfresh_per_capita,unnamed: 0,countyfip,pct_foodstmp,median_income,count
sacramento,US-06067,-121.1505311,38.383079,CalWIN,2018,11983,96234,91993,43300.0,,,1529501,304473,363983,92841.0,60415.833333333336,200210,0.1308989010141216,159,67,0.871956478471439,85000.0,15073
san bernardino,US-06071,-116.6760973,34.840011,C-IV,2018,21422,152270,166608,53670.0,,,2174938,374170,581301,159507.0,65946.58333333333,340300,0.15646423024472422,160,71,0.841670794122503,80000.0,18171
san diego,US-06073,-116.693716,33.019645,CalWIN,2018,27745,121601,116459,86280.0,,,3337456,682446,804235,216965.0,73274.33333333333,265805,0.07964299754064173,161,73,0.915796497080901,99000.0,29975
san francisco,US-06075,-122.4847727,37.759845,CalWIN,2018,10215,24275,15664,20115.0,,,883963,198778,132330,96657.0,35035.083333333336,50154,0.056737668884331134,162,75,0.942141403865717,151050.0,7864
san joaquin,US-06077,-120.9449271,37.889845,C-IV,2018,6208,43425,50660,17749.0,,,758744,137287,201902,62038.0,25946.916666666668,100293,0.1321829233575488,163,77,0.819206680584551,78900.0,7185
san luis obispo,US-06079,-120.1080592,35.34633,CalWIN,2018,1793,7927,6516,2630.0,,,280101,80561,51974,9045.0,3802.0,16236,0.05796480555228293,164,79,0.944596176355833,99000.0,2563
san mateo,US-06081,-122.2406398,37.407705,CalWIN,2018,3385,8539,11435,9687.0,,,774155,183173,163129,54023.0,9211.75,23359,0.03017354405771454,165,81,0.968247745981968,158500.0,7653
santa barbara,US-06083,-120.0351675,34.743715,CalWIN,2018,2798,16125,19884,13453.0,,,453457,93932,103199,45552.0,7676.0,38807,0.08558033065979795,166,83,0.916158192090396,102000.0,4425
santa clara,US-06085,-121.6161794,37.18939,CalWIN,2018,10216,32789,36942,31912.0,,,1956598,393649,448977,162853.0,39763.833333333336,79947,0.04086020735991757,167,85,0.954178718221952,158000.0,19707
santa cruz,US-06087,-122.0401593,37.06834,CalWIN,2018,2543,11335,10439,7987.0,,,276864,65283,60678,20226.0,4530.666666666667,24317,0.08783012598243181,168,87,0.908032128514056,135000.0,2490
shasta,US-06089,-122.0883555,40.735175,C-IV,2018,2007,12897,9205,427.0,,,178271,49766,37648,2041.0,8818.75,24109,0.1352379242838151,169,89,0.885893115069812,70300.0,2077
solano,US-06095,-121.6688337,38.2894915,CalWIN,2018,3317,18283,16724,5587.0,,,439793,99982,101176,20223.0,10681.25,38324,0.08714099587760606,170,95,0.922473672417656,102000.0,4463
sonoma,US-06097,-122.7518161,38.481733,CalWIN,2018,3718,12298,12845,7980.0,,,503332,139599,98066,26868.0,7735.583333333333,28861,0.057339886993078126,171,97,0.948581181992746,105000.0,4687
stanislaus,US-06099,-120.8981857,37.606095,C-IV,2018,4894,36317,36686,14019.0,,,555624,103114,146558,48530.0,18831.916666666668,77897,0.14019732768922868,172,99,0.829482948294829,69200.0,4545
tulare,US-06107,-119.0889841,36.266965,CalWIN,2018,6174,47882,62215,36932.0,,,475834,78149,144290,61208.0,17480.166666666668,116271,0.24435202192361202,173,107,0.746004842615012,56000.0,4130
ventura,US-06111,-119.0838699,34.47326,CalWIN,2018,6419,27742,32789,22650.0,,,859073,189578,197155,77382.0,14449.583333333334,66950,0.07793284156294052,174,111,0.908431237042156,104000.0,8682
yolo,US-06113,-121.9008022,38.619495,CalWIN,2018,1460,9710,7253,4136.0,,,221270,39228,51447,12376.0,4944.25,18423,0.08326027025805577,175,113,0.904455445544554,97800.0,2020
alameda,US-06001,-121.7871814,37.680185,CalWIN,2019,19496,49067,39045,30618.0,,,1674115,363389,354301,123725.0,43239.583333333336,107608,0.0642775436573951,177,1,0.943637916310845,142000.0,17565
butte,US-06007,-121.5660076,39.723785,C-IV,2019,3289,16564,9990,2008.0,,,216965,56856,43424,5358.0,9454.75,29843,0.13754753070771783,178,7,0.857977528089888,73090.0,2225
contra costa,US-06013,-121.717604,37.888418,CalWIN,2019,8188,26734,26748,11724.0,,,1153077,275661,250901,69338.0,22689.666666666668,61670,0.053482985091195125,179,13,0.949127330424435,135050.0,10084
el dorado,US-06017,-120.4259625,38.78496,C-IV,2019,1598,5944,3639,594.0,,,191210,59081,34252,2847.0,2693.1666666666665,11181,0.058474975158203026,180,17,0.954520844612886,119000.0,1847
fresno,US-06019,-120.862059,36.74633,CalWIN,2019,14484,87111,103869,45108.0,,,1021960,176739,281014,105377.0,41245.66666666666,205464,0.20104896473443187,181,19,0.792897444407567,75500.0,9039
humboldt,US-06023,-123.959972,40.73356,C-IV,2019,2758,12933,6466,718.0,,,134909,34139,27987,1936.0,4886.916666666667,22157,0.16423663358263718,182,23,0.850174216027875,74620.0,1435
imperial,US-06025,-115.058652,33.02615,C-IV,2019,4896,17607,17674,20620.0,,,190025,35559,55110,34202.0,9791.166666666666,40177,0.2114300749901329,183,25,0.791543026706231,73000.0,1348
kern,US-06029,-118.4426011,35.29441,C-IV,2019,12328,65069,78655,30673.0,,,917379,150342,252977,85522.0,31107.666666666668,156052,0.17010635735066967,184,29,0.798734905117884,70000.0,6956
kings,US-06031,-119.6135104,36.138775,C-IV,2019,1759,10439,11348,4703.0,,,154446,22885,43977,14286.0,4570.083333333333,23546,0.15245457959416236,185,31,0.85175380542687,75700.0,1511
los angeles,US-06037,-117.9879672,34.26394,LRS,2019,181910,497924,471744,378038.0,,,10260237,2085070,2231467,1265355.0,359101.6666666667,1151578,0.11223697854152882,186,37,0.88965949610125,93000.0,102084
madera,US-06039,-119.84174,37.27052,C-IV,2019,1632,9621,14870,8042.0,,,158940,31620,41235,18762.0,4424.75,26123,0.1643576192273814,187,39,0.815305371596762,84100.0,1359
marin,US-06041,-122.870429,38.068145,C-IV,2019,2089,4306,3773,3412.0,,,261627,83999,49636,9402.0,2498.1666666666665,10168,0.03886449028578855,188,41,0.974667774086379,164700.0,2408
merced,US-06047,-120.1246993,37.18687,C-IV,2019,3955,22713,25940,12187.0,,,283408,45081,79847,34355.0,10346.416666666666,52608,0.18562637610794333,189,47,0.787741670094611,68800.0,2431
napa,US-06055,-122.5128064,38.509635,C-IV,2019,833,2224,2510,1832.0,,,140062,35619,27975,10647.0,1848.8333333333333,5567,0.03974668361154346,190,55,0.982132564841499,120000.0,1735
orange,US-06059,-117.8002615,33.66707,CalWIN,2019,32978,79099,92237,81334.0,,,3220987,693437,717003,293076.0,66639.33333333333,204314,0.06343210947451822,191,59,0.936798658583774,115000.0,31012
placer,US-06061,-120.7858989,39.013999,CalWIN,2019,2410,7167,5197,1381.0,,,394737,103679,81792,7227.0,5103.5,14774,0.03742745169568599,192,61,0.950552088334134,120200.0,4166
riverside,US-06065,-115.0250859,33.752845,C-IV,2019,24538,109595,112871,43729.0,,,2443454,508893,592047,184782.0,58175.41666666666,247004,0.10108804994896568,193,65,0.90202717754511,90200.0,22445
sacramento,US-06067,-121.1505311,38.383079,CalWIN,2019,22704,99215,86191,44201.0,,,1553253,317294,367322,91340.0,59641.16666666666,208110,0.1339833240302771,194,67,0.890395480225989,92000.0,15045
san bernardino,US-06071,-116.6760973,34.840011,C-IV,2019,29074,145985,150208,47712.0,,,2197650,378683,557643,158414.0,65960.91666666667,325267,0.14800673446636178,195,71,0.859602206251045,83400.0,17949
