County,FIPS,Longitude,Latitude,Consortium,Year,Elderly CalFresh,Age 18-59 CalFresh,Children CalFresh,ESL CalFresh,WIC Recipients Reachable,Pct Receiving WIC,Total Population,Elderly Population,Children Population,ESL Population,SSI Recipients
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2016,572,2926,1790,105.0,84.0,0.606060606,44791,16474,7363,277.0,1015.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,2016,114,574,811,393.0,48.0,0.711297071,22408,4434,6116,2893.0,552.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2016,4727,30804,34519,15305.0,3229.0,0.538284619,1129894,247789,251595,74586.0,23841.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2016,287,2881,2186,189.0,136.0,0.696551724,27040,6661,5824,537.0,1779.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2016,1149,7202,4816,844.0,258.0,0.568442347,184180,51087,36645,3406.0,2862.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,2016,8599,102071,125061,57671.0,5748.0,0.761550075,989183,163512,279928,112485.0,41294.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,2016,187,1654,1972,742.0,117.0,0.750793651,29073,6207,7528,2761.0,1081.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,2016,1455,12589,7512,908.0,426.0,0.589486356,136086,32838,27690,2230.0,5383.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2016,2792,19828,20597,22382.0,812.0,0.634608872,187157,32050,54372,34100.0,9999.0
Inyo,US-06027,-117.7797286,36.626,C-IV,2016,174,1050,853,224.0,61.0,0.721649485,18649,5699,3867,451.0,382.0
Kern,US-06029,-118.4426011,35.29441,C-IV,2016,6955,70514,89636,37205.0,6086.0,0.741666667,888994,136623,254735,83111.0,30848.0
Kings,US-06031,-119.6135104,36.138775,C-IV,2016,988,10922,12811,5807.0,877.0,0.719566289,149407,21381,45432,13525.0,4567.0
Lake,US-06033,-122.9624445,39.124455,C-IV,2016,1054,6702,4898,992.0,313.0,0.670349908,65128,19175,13526,2348.0,3660.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,2016,168,1712,1355,63.0,90.0,0.635983264,30645,6887,5308,633.0,881.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2016,65695,489436,521779,391688.0,51194.0,0.747201878,10229245,1915495,2304521,1343973.0,381016.0
Madera,US-06039,-119.84174,37.27052,C-IV,2016,985,10929,17426,9932.0,975.0,0.737387942,155693,29376,42383,19819.0,4480.0
Marin,US-06041,-122.870429,38.068145,C-IV,2016,1268,4468,4745,4064.0,295.0,0.578982155,263257,76036,52612,10590.0,2796.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2016,215,1133,698,41.0,42.0,0.669724771,18055,6483,2887,193.0,427.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2016,928,6566,5237,1689.0,333.0,0.567476002,88995,24819,19104,4384.0,3066.0
Merced,US-06047,-120.1246993,37.18687,C-IV,2016,2309,23839,31177,14791.0,1760.0,0.723367169,272610,41701,79762,32600.0,10667.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,2016,46,579,499,48.0,15.0,0.602649007,9469,3096,1807,256.0,404.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,2016,65,404,357,194.0,15.0,0.537037037,13785,2795,2848,1013.0,101.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,2016,2774,16209,29652,22216.0,1244.0,0.713618214,441129,80555,114101,82997.0,8101.0
Napa,US-06055,-122.5128064,38.509635,C-IV,2016,561,2946,3968,2829.0,201.0,0.656349206,142269,34640,29835,11745.0,2034.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,2016,778,4419,2695,225.0,169.0,0.489749431,98552,33995,16434,1305.0,1824.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,2016,20825,101850,136659,113097.0,7350.0,0.681085847,3181371,627423,726521,309974.0,67977.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,2016,1653,8983,7085,1882.0,487.0,0.54584121,376092,96940,78000,5842.0,5095.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2016,154,1192,730,40.0,49.0,0.624521073,19494,7235,3171,170.0,663.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,2016,16535,128786,145657,63275.0,10479.0,0.639698181,2360727,456965,598756,189787.0,58100.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2016,10622,105972,100084,47168.0,5851.0,0.614490903,1506677,284940,361388,94153.0,62524.0
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2016,350,2369,2888,1596.0,386.0,0.738947368,58014,10729,14569,5252.0,880.0
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2016,21084,180957,193959,68443.0,11109.0,0.66028086,2147933,346063,579219,167271.0,67508.0
San Diego,US-06073,-116.693716,33.019645,CalWIN,2016,24013,135994,133618,99769.0,11913.0,0.649918312,3300891,637060,780130,238465.0,75424.0
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2016,8600,27523,18892,22730.0,1229.0,0.580031949,871185,188417,124486,99674.0,36427.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2016,5637,51577,60519,22397.0,3337.0,0.669147353,738873,127720,199204,60196.0,26870.0
