Year,FIPS,Race,AgeGroup,Population
2010,6033,Black NH,19–34,404
2010,6033,Black NH,35–64,979
2010,6033,Black NH,65+,589
2010,6033,Hispanic,0–18,8939
2010,6033,Hispanic,19–34,5316
2010,6033,Hispanic,35–64,6974
2010,6033,Hispanic,65+,1296
2010,6033,MR NH,0–18,1519
2010,6033,MR NH,19–34,765
2010,6033,MR NH,35–64,1395
2010,6033,MR NH,65+,380
2010,6033,NHPI NH,0–18,36
2010,6033,NHPI NH,19–34,41
2010,6033,NHPI NH,35–64,105
2010,6033,NHPI NH,65+,18
2010,6033,White NH,0–18,17213
2010,6033,White NH,19–34,14281
2010,6033,White NH,35–64,45011
2010,6033,White NH,65+,20404
2010,6035,AIAN NH,0–18,484
2010,6035,AIAN NH,19–34,548
2010,6035,AIAN NH,35–64,817
2010,6035,AIAN NH,65+,161
2010,6035,Asian NH,0–18,115
2010,6035,Asian NH,19–34,229
2010,6035,Asian NH,35–64,293
2010,6035,Asian NH,65+,48
2010,6035,Black NH,0–18,173
2010,6035,Black NH,19–34,2952
2010,6035,Black NH,35–64,2672
2010,6035,Black NH,65+,89
2010,6035,Hispanic,0–18,2319
2010,6035,Hispanic,19–34,5651
2010,6035,Hispanic,35–64,3975
2010,6035,Hispanic,65+,348
2010,6035,MR NH,0–18,712
2010,6035,MR NH,19–34,317
2010,6035,MR NH,35–64,578
2010,6035,MR NH,65+,114
2010,6035,NHPI NH,0–18,87
2010,6035,NHPI NH,19–34,122
2010,6035,NHPI NH,35–64,103
2010,6035,NHPI NH,65+,16
2010,6035,White NH,0–18,9526
2010,6035,White NH,19–34,9446
2010,6035,White NH,35–64,21715
2010,6035,White NH,65+,6163
2010,6037,AIAN NH,0–18,7748
2010,6037,AIAN NH,19–34,8418
2010,6037,AIAN NH,35–64,18053
2010,6037,AIAN NH,65+,4716
2010,6037,Asian NH,0–18,494618
2010,6037,Asian NH,19–34,639294
2010,6037,Asian NH,35–64,1185542
2010,6037,Asian NH,65+,359787
2010,6037,Black NH,0–18,407760
2010,6037,Black NH,19–34,367260
2010,6037,Black NH,35–64,679654
2010,6037,Black NH,65+,198087
2010,6037,Hispanic,0–18,3153750
2010,6037,Hispanic,19–34,2494423
2010,6037,Hispanic,35–64,3173817
2010,6037,Hispanic,65+,560262
2010,6037,MR NH,0–18,143829
2010,6037,MR NH,19–34,94825
2010,6037,MR NH,35–64,101988
