Year,FIPS,Race,AgeGroup,Population
2020,6007,NHPI NH,35–64,154
2020,6007,NHPI NH,65+,62
2020,6007,White NH,0–18,25981
2020,6007,White NH,19–34,32476
2020,6007,White NH,35–64,51070
2020,6007,White NH,65+,31291
2020,6009,AIAN NH,0–18,98
2020,6009,AIAN NH,19–34,79
2020,6009,AIAN NH,35–64,221
2020,6009,AIAN NH,65+,121
2020,6009,Asian NH,0–18,92
2020,6009,Asian NH,19–34,111
2020,6009,Asian NH,35–64,317
2020,6009,Asian NH,65+,195
2020,6009,Black NH,0–18,78
2020,6009,Black NH,19–34,64
2020,6009,Black NH,35–64,118
2020,6009,Black NH,65+,71
2020,6009,Hispanic,0–18,2332
2020,6009,Hispanic,19–34,1823
2020,6009,Hispanic,35–64,2809
2020,6009,Hispanic,65+,1122
2020,6009,MR NH,0–18,1006
2020,6009,MR NH,19–34,515
2020,6009,MR NH,35–64,888
2020,6009,MR NH,65+,470
2020,6009,NHPI NH,0–18,16
2020,6009,NHPI NH,19–34,24
2020,6009,NHPI NH,35–64,33
2020,6009,NHPI NH,65+,27
2020,6009,White NH,0–18,5491
2020,6009,White NH,19–34,4603
2020,6009,White NH,35–64,13962
2020,6009,White NH,65+,10885
2020,6011,AIAN NH,0–18,82
2020,6011,AIAN NH,19–34,48
2020,6011,AIAN NH,35–64,105
2020,6011,AIAN NH,65+,50
2020,6011,Asian NH,0–18,53
2020,6011,Asian NH,19–34,60
2020,6011,Asian NH,35–64,99
2020,6011,Asian NH,65+,55
2020,6011,Black NH,0–18,46
2020,6011,Black NH,19–34,48
2020,6011,Black NH,35–64,64
2020,6011,Black NH,65+,53
2020,6011,Hispanic,0–18,5286
2020,6011,Hispanic,19–34,3309
2020,6011,Hispanic,35–64,4798
2020,6011,Hispanic,65+,924
2020,6011,MR NH,0–18,200
2020,6011,MR NH,19–34,128
2020,6011,MR NH,35–64,145
2020,6011,MR NH,65+,63
2020,6011,NHPI NH,0–18,14
2020,6011,NHPI NH,19–34,19
2020,6011,NHPI NH,35–64,27
2020,6011,NHPI NH,65+,21
2020,6011,White NH,0–18,1269
2020,6011,White NH,19–34,1029
2020,6011,White NH,35–64,2776
2020,6011,White NH,65+,1938
2020,6013,AIAN NH,0–18,514
2020,6013,AIAN NH,19–34,537
2020,6013,AIAN NH,35–64,1106
2020,6013,AIAN NH,65+,443
2020,6013,Asian NH,0–18,46659
2020,6013,Asian NH,19–34,39284
2020,6013,Asian NH,35–64,97508
2020,6013,Asian NH,65+,33319
2020,6013,Black NH,0–18,22025
2020,6013,Black NH,19–34,21973
2020,6013,Black NH,35–64,40575
2020,6013,Black NH,65+,14319
2020,6013,Hispanic,0–18,108402
2020,6013,Hispanic,19–34,71805
2020,6013,Hispanic,35–64,101962
2020,6013,Hispanic,65+,19208
2020,6013,MR NH,0–18,30290
2020,6013,MR NH,19–34,15440
2020,6013,MR NH,35–64,16912
2020,6013,MR NH,65+,3805
2020,6013,NHPI NH,0–18,1369
2020,6013,NHPI NH,19–34,1360
2020,6013,NHPI NH,35–64,2552
2020,6013,NHPI NH,65+,671
2020,6013,White NH,0–18,81084
2020,6013,White NH,19–34,71042
2020,6013,White NH,35–64,199177
2020,6013,White NH,65+,109031
2020,6015,AIAN NH,0–18,683
2020,6015,AIAN NH,19–34,435
2020,6015,AIAN NH,35–64,783
2020,6015,AIAN NH,65+,237
2020,6015,Asian NH,0–18,267
2020,6015,Asian NH,19–34,189
2020,6015,Asian NH,35–64,279
2020,6015,Asian NH,65+,106
2020,6015,Black NH,0–18,60
2020,6015,Black NH,19–34,380
2020,6015,Black NH,35–64,444
2020,6015,Black NH,65+,30
2020,6015,Hispanic,0–18,1663
2020,6015,Hispanic,19–34,1394
2020,6015,Hispanic,35–64,1711
2020,6015,Hispanic,65+,335
2020,6015,MR NH,0–18,994
2020,6015,MR NH,19–34,417
2020,6015,MR NH,35–64,583
2020,6015,MR NH,65+,230
2020,6015,NHPI NH,0–18,4
2020,6015,NHPI NH,19–34,4
2020,6015,NHPI NH,35–64,12
2020,6015,NHPI NH,65+,3
2020,6015,White NH,0–18,2935
2020,6015,White NH,19–34,2464
2020,6015,White NH,35–64,6864
2020,6015,White NH,65+,4175
2020,6017,AIAN NH,0–18,229
2020,6017,AIAN NH,19–34,252
2020,6017,AIAN NH,35–64,560
2020,6017,AIAN NH,65+,246
2020,6017,Asian NH,0–18,1956
2020,6017,Asian NH,19–34,1367
2020,6017,Asian NH,35–64,4305
2020,6017,Asian NH,65+,1498
2020,6017,Black NH,0–18,278
2020,6017,Black NH,19–34,280
2020,6017,Black NH,35–64,649
2020,6017,Black NH,65+,242
2020,6017,Hispanic,0–18,11695
2020,6017,Hispanic,19–34,7158
2020,6017,Hispanic,35–64,10961
2020,6017,Hispanic,65+,2686
2020,6017,MR NH,0–18,4736
2020,6017,MR NH,19–34,2314
2020,6017,MR NH,35–64,3268
2020,6017,MR NH,65+,1043
2020,6017,NHPI NH,0–18,63
2020,6017,NHPI NH,19–34,47
2020,6017,NHPI NH,35–64,147
2020,6017,NHPI NH,65+,52
2020,6017,White NH,0–18,25652
2020,6017,White NH,19–34,20255
2020,6017,White NH,35–64,59557
2020,6017,White NH,65+,35827
2020,6019,AIAN NH,0–18,1383
2020,6019,AIAN NH,19–34,1396
2020,6019,AIAN NH,35–64,2471
2020,6019,AIAN NH,65+,930
2020,6019,Asian NH,0–18,31435
2020,6019,Asian NH,19–34,29368
2020,6019,Asian NH,35–64,38271
2020,6019,Asian NH,65+,12238
2020,6019,Black NH,0–18,12890
2020,6019,Black NH,19–34,11059
2020,6019,Black NH,35–64,15860
2020,6019,Black NH,65+,4855
2020,6019,Hispanic,0–18,224636
2020,6019,Hispanic,19–34,146659
2020,6019,Hispanic,35–64,178068
2020,6019,Hispanic,65+,39324
2020,6019,MR NH,0–18,13961
2020,6019,MR NH,19–34,7026
2020,6019,MR NH,35–64,6686
2020,6019,MR NH,65+,1877
2020,6019,NHPI NH,0–18,430
2020,6019,NHPI NH,19–34,278
2020,6019,NHPI NH,35–64,466
2020,6019,NHPI NH,65+,113
2020,6019,White NH,0–18,50746
2020,6019,White NH,19–34,49827
2020,6019,White NH,35–64,109690
2020,6019,White NH,65+,64619
2020,6021,AIAN NH,0–18,129
2020,6021,AIAN NH,19–34,99
2020,6021,AIAN NH,35–64,188
2020,6021,AIAN NH,65+,92
2020,6021,Asian NH,0–18,168
2020,6021,Asian NH,19–34,135
2020,6021,Asian NH,35–64,262
2020,6021,Asian NH,65+,87
2020,6021,Black NH,0–18,42
2020,6021,Black NH,19–34,36
2020,6021,Black NH,35–64,54
2020,6021,Black NH,65+,20
2020,6021,Hispanic,0–18,4734
2020,6021,Hispanic,19–34,3157
2020,6021,Hispanic,35–64,3917
2020,6021,Hispanic,65+,821
2020,6021,MR NH,0–18,434
2020,6021,MR NH,19–34,179
2020,6021,MR NH,35–64,268
2020,6021,MR NH,65+,118
2020,6021,NHPI NH,0–18,12
2020,6021,NHPI NH,19–34,10
2020,6021,NHPI NH,35–64,8
2020,6021,NHPI NH,65+,5
2020,6021,White NH,0–18,2915
2020,6021,White NH,19–34,2334
2020,6021,White NH,35–64,5348
2020,6021,White NH,65+,3409
2020,6023,AIAN NH,0–18,2183
2020,6023,AIAN NH,19–34,1810
2020,6023,AIAN NH,35–64,2620
2020,6023,AIAN NH,65+,860
2020,6023,Asian NH,0–18,867
2020,6023,Asian NH,19–34,1169
2020,6023,Asian NH,35–64,1178
2020,6023,Asian NH,65+,314
2020,6023,Black NH,0–18,350
2020,6023,Black NH,19–34,649
2020,6023,Black NH,35–64,625
2020,6023,Black NH,65+,128
2020,6023,Hispanic,0–18,8397
2020,6023,Hispanic,19–34,7777
2020,6023,Hispanic,35–64,6720
2020,6023,Hispanic,65+,1351
2020,6023,MR NH,0–18,3847
2020,6023,MR NH,19–34,3260
2020,6023,MR NH,35–64,2526
2020,6023,MR NH,65+,776
2020,6023,NHPI NH,0–18,132
2020,6023,NHPI NH,19–34,102
2020,6023,NHPI NH,35–64,150
2020,6023,NHPI NH,65+,33
2020,6023,White NH,0–18,15714
2020,6023,White NH,19–34,19947
2020,6023,White NH,35–64,37094
2020,6023,White NH,65+,21463
2020,6025,AIAN NH,0–18,412
2020,6025,AIAN NH,19–34,316
2020,6025,AIAN NH,35–64,573
2020,6025,AIAN NH,65+,299
2020,6025,Asian NH,0–18,407
2020,6025,Asian NH,19–34,455
2020,6025,Asian NH,35–64,923
2020,6025,Asian NH,65+,511
2020,6025,Black NH,0–18,433
2020,6025,Black NH,19–34,1394
2020,6025,Black NH,35–64,1718
2020,6025,Black NH,65+,320
2020,6025,Hispanic,0–18,53269
2020,6025,Hispanic,19–34,36970
2020,6025,Hispanic,35–64,50128
2020,6025,Hispanic,65+,17797
2020,6025,MR NH,0–18,598
2020,6025,MR NH,19–34,325
2020,6025,MR NH,35–64,412
2020,6025,MR NH,65+,243
2020,6025,NHPI NH,0–18,28
2020,6025,NHPI NH,19–34,20
2020,6025,NHPI NH,35–64,27
2020,6025,NHPI NH,65+,13
2020,6025,White NH,0–18,2932
2020,6025,White NH,19–34,2700
2020,6025,White NH,35–64,6662
2020,6025,White NH,65+,4735
2020,6027,AIAN NH,0–18,646
2020,6027,AIAN NH,19–34,438
2020,6027,AIAN NH,35–64,808
2020,6027,AIAN NH,65+,298
2020,6027,Asian NH,0–18,43
2020,6027,Asian NH,19–34,58
2020,6027,Asian NH,35–64,120
2020,6027,Asian NH,65+,52
2020,6027,Black NH,0–18,10
2020,6027,Black NH,19–34,41
2020,6027,Black NH,35–64,27
2020,6027,Black NH,65+,7
2020,6027,Hispanic,0–18,1652
2020,6027,Hispanic,19–34,1037
2020,6027,Hispanic,35–64,1527
2020,6027,Hispanic,65+,473
2020,6027,MR NH,0–18,328
2020,6027,MR NH,19–34,153
2020,6027,MR NH,35–64,326
2020,6027,MR NH,65+,128
2020,6027,NHPI NH,0–18,1
2020,6027,NHPI NH,19–34,4
2020,6027,NHPI NH,35–64,7
2020,6027,NHPI NH,65+,1
2020,6027,White NH,0–18,1490
2020,6027,White NH,19–34,1536
2020,6027,White NH,35–64,4490
2020,6027,White NH,65+,3604
2020,6029,AIAN NH,0–18,1026
2020,6029,AIAN NH,19–34,1214
2020,6029,AIAN NH,35–64,2115
2020,6029,AIAN NH,65+,898
2020,6029,Asian NH,0–18,10296
2020,6029,Asian NH,19–34,9715
2020,6029,Asian NH,35–64,18580
2020,6029,Asian NH,65+,6463
2020,6029,Black NH,0–18,13345
2020,6029,Black NH,19–34,13208
2020,6029,Black NH,35–64,16115
2020,6029,Black NH,65+,4495
2020,6029,Hispanic,0–18,214413
2020,6029,Hispanic,19–34,140323
2020,6029,Hispanic,35–64,163624
2020,6029,Hispanic,65+,30421
2020,6029,MR NH,0–18,12993
2020,6029,MR NH,19–34,6627
2020,6029,MR NH,35–64,6765
2020,6029,MR NH,65+,2179
2020,6029,NHPI NH,0–18,236
2020,6029,NHPI NH,19–34,295
2020,6029,NHPI NH,35–64,486
2020,6029,NHPI NH,65+,122
2020,6029,White NH,0–18,59554
2020,6029,White NH,19–34,53222
2020,6029,White NH,35–64,112371
2020,6029,White NH,65+,57225
2020,6031,AIAN NH,0–18,480
2020,6031,AIAN NH,19–34,454
2020,6031,AIAN NH,35–64,599
2020,6031,AIAN NH,65+,178
2020,6031,Asian NH,0–18,1114
2020,6031,Asian NH,19–34,1335
2020,6031,Asian NH,35–64,2236
2020,6031,Asian NH,65+,931
2020,6031,Black NH,0–18,1450
2020,6031,Black NH,19–34,2601
2020,6031,Black NH,35–64,3815
2020,6031,Black NH,65+,555
2020,6031,Hispanic,0–18,38055
2020,6031,Hispanic,19–34,29095
2020,6031,Hispanic,35–64,31783
2020,6031,Hispanic,65+,6773
2020,6031,MR NH,0–18,2353
2020,6031,MR NH,19–34,1305
2020,6031,MR NH,35–64,1089
2020,6031,MR NH,65+,228
2020,6031,NHPI NH,0–18,93
2020,6031,NHPI NH,19–34,107
2020,6031,NHPI NH,35–64,120
2020,6031,NHPI NH,65+,36
2020,6031,White NH,0–18,9014
2020,6031,White NH,19–34,10325
2020,6031,White NH,35–64,17746
2020,6031,White NH,65+,8038
2020,6033,AIAN NH,0–18,546
2020,6033,AIAN NH,19–34,348
2020,6033,AIAN NH,35–64,603
2020,6033,AIAN NH,65+,229
2020,6033,Asian NH,0–18,123
2020,6033,Asian NH,19–34,135
2020,6033,Asian NH,35–64,461
2020,6033,Asian NH,65+,222
2020,6033,Black NH,0–18,205
2020,6033,Black NH,19–34,228
2020,6033,Black NH,35–64,417
2020,6033,Black NH,65+,319
2020,6033,Hispanic,0–18,7045
2020,6033,Hispanic,19–34,3928
2020,6033,Hispanic,35–64,5515
2020,6033,Hispanic,65+,1418
2020,6033,MR NH,0–18,1687
2020,6033,MR NH,19–34,831
2020,6033,MR NH,35–64,1164
2020,6033,MR NH,65+,530
2020,6033,NHPI NH,0–18,35
2020,6033,NHPI NH,19–34,20
2020,6033,NHPI NH,35–64,45
2020,6033,NHPI NH,65+,19
2020,6033,White NH,0–18,7521
2020,6033,White NH,19–34,6412
2020,6033,White NH,35–64,17846
2020,6033,White NH,65+,12792
2020,6035,AIAN NH,0–18,183
2020,6035,AIAN NH,19–34,273
2020,6035,AIAN NH,35–64,339
2020,6035,AIAN NH,65+,152
2020,6035,Asian NH,0–18,85
2020,6035,Asian NH,19–34,177
2020,6035,Asian NH,35–64,183
2020,6035,Asian NH,65+,34
2020,6035,Black NH,0–18,94
2020,6035,Black NH,19–34,1144
2020,6035,Black NH,35–64,1097
2020,6035,Black NH,65+,54
2020,6035,Hispanic,0–18,1601
2020,6035,Hispanic,19–34,3440
2020,6035,Hispanic,35–64,2727
2020,6035,Hispanic,65+,375
2020,6035,MR NH,0–18,666
2020,6035,MR NH,19–34,314
2020,6035,MR NH,35–64,426
2020,6035,MR NH,65+,200
2020,6035,NHPI NH,0–18,77
2020,6035,NHPI NH,19–34,76
2020,6035,NHPI NH,35–64,81
2020,6035,NHPI NH,65+,35
2020,6035,White NH,0–18,3630
2020,6035,White NH,19–34,3923
2020,6035,White NH,35–64,8182
2020,6035,White NH,65+,4075
2020,6037,AIAN NH,0–18,3287
2020,6037,AIAN NH,19–34,4300
2020,6037,AIAN NH,35–64,8152
2020,6037,AIAN NH,65+,3259
2020,6037,Asian NH,0–18,263954
2020,6037,Asian NH,19–34,317838
2020,6037,Asian NH,35–64,627231
2020,6037,Asian NH,65+,276828
2020,6037,Black NH,0–18,151064
2020,6037,Black NH,19–34,185922
2020,6037,Black NH,35–64,315144
2020,6037,Black NH,65+,117775
2020,6037,Hispanic,0–18,1341362
2020,6037,Hispanic,19–34,1128872
2020,6037,Hispanic,35–64,1502851
2020,6037,Hispanic,65+,340443
2020,6037,MR NH,0–18,119900
2020,6037,MR NH,19–34,82352
2020,6037,MR NH,35–64,85952
2020,6037,MR NH,65+,24852
2020,6037,NHPI NH,0–18,4223
2020,6037,NHPI NH,19–34,5291
2020,6037,NHPI NH,35–64,8944
2020,6037,NHPI NH,65+,2633
2020,6037,White NH,0–18,387719
2020,6037,White NH,19–34,553158
2020,6037,White NH,35–64,1100723
2020,6037,White NH,65+,553102
2020,6039,AIAN NH,0–18,310
2020,6039,AIAN NH,19–34,367
2020,6039,AIAN NH,35–64,703
2020,6039,AIAN NH,65+,403
2020,6039,Asian NH,0–18,774
2020,6039,Asian NH,19–34,758
2020,6039,Asian NH,35–64,1539
2020,6039,Asian NH,65+,609
2020,6039,Black NH,0–18,828
2020,6039,Black NH,19–34,1042
2020,6039,Black NH,35–64,1850
2020,6039,Black NH,65+,538
2020,6039,Hispanic,0–18,38302
2020,6039,Hispanic,19–34,24197
2020,6039,Hispanic,35–64,30896
2020,6039,Hispanic,65+,6488
2020,6039,MR NH,0–18,1714
2020,6039,MR NH,19–34,877
2020,6039,MR NH,35–64,1143
2020,6039,MR NH,65+,648
2020,6039,NHPI NH,0–18,49
2020,6039,NHPI NH,19–34,26
2020,6039,NHPI NH,35–64,41
2020,6039,NHPI NH,65+,27
2020,6039,White NH,0–18,8379
2020,6039,White NH,19–34,7541
2020,6039,White NH,35–64,19678
2020,6039,White NH,65+,13470
2020,6041,AIAN NH,0–18,91
2020,6041,AIAN NH,19–34,93
2020,6041,AIAN NH,35–64,315
2020,6041,AIAN NH,65+,88
2020,6041,Asian NH,0–18,3046
2020,6041,Asian NH,19–34,2665
2020,6041,Asian NH,35–64,7861
2020,6041,Asian NH,65+,2894
2020,6041,Black NH,0–18,938
2020,6041,Black NH,19–34,1420
2020,6041,Black NH,35–64,3104
2020,6041,Black NH,65+,792
2020,6041,Hispanic,0–18,16307
2020,6041,Hispanic,19–34,10167
2020,6041,Hispanic,35–64,16966
2020,6041,Hispanic,65+,2865
2020,6041,MR NH,0–18,6433
2020,6041,MR NH,19–34,2897
2020,6041,MR NH,35–64,3930
2020,6041,MR NH,65+,1158
2020,6041,NHPI NH,0–18,119
2020,6041,NHPI NH,19–34,72
2020,6041,NHPI NH,35–64,207
2020,6041,NHPI NH,65+,90
2020,6041,White NH,0–18,30391
2020,6041,White NH,19–34,20231
2020,6041,White NH,35–64,74893
2020,6041,White NH,65+,49524
2020,6043,AIAN NH,0–18,63
2020,6043,AIAN NH,19–34,77
2020,6043,AIAN NH,35–64,194
2020,6043,AIAN NH,65+,81
2020,6043,Asian NH,0–18,47
2020,6043,Asian NH,19–34,29
2020,6043,Asian NH,35–64,141
2020,6043,Asian NH,65+,71
2020,6043,Black NH,0–18,8
2020,6043,Black NH,19–34,26
2020,6043,Black NH,35–64,53
2020,6043,Black NH,65+,18
2020,6043,Hispanic,0–18,938
2020,6043,Hispanic,19–34,530
2020,6043,Hispanic,35–64,820
2020,6043,Hispanic,65+,335
2020,6043,MR NH,0–18,362
2020,6043,MR NH,19–34,171
2020,6043,MR NH,35–64,466
2020,6043,MR NH,65+,223
2020,6043,NHPI NH,0–18,5
2020,6043,NHPI NH,19–34,5
2020,6043,NHPI NH,35–64,4
2020,6043,NHPI NH,65+,1
2020,6043,White NH,0–18,1903
2020,6043,White NH,19–34,1749
2020,6043,White NH,35–64,5148
2020,6043,White NH,65+,4119
2020,6045,AIAN NH,0–18,978
2020,6045,AIAN NH,19–34,752
2020,6045,AIAN NH,35–64,1284
2020,6045,AIAN NH,65+,523
2020,6045,Asian NH,0–18,333
2020,6045,Asian NH,19–34,313
2020,6045,Asian NH,35–64,794
2020,6045,Asian NH,65+,316
2020,6045,Black NH,0–18,122
2020,6045,Black NH,19–34,144
2020,6045,Black NH,35–64,269
2020,6045,Black NH,65+,68
2020,6045,Hispanic,0–18,10126
2020,6045,Hispanic,19–34,5610
2020,6045,Hispanic,35–64,7928
2020,6045,Hispanic,65+,1678
2020,6045,MR NH,0–18,1845
2020,6045,MR NH,19–34,987
2020,6045,MR NH,35–64,1469
2020,6045,MR NH,65+,582
2020,6045,NHPI NH,0–18,25
2020,6045,NHPI NH,19–34,20
2020,6045,NHPI NH,35–64,57
2020,6045,NHPI NH,65+,19
2020,6045,White NH,0–18,8809
2020,6045,White NH,19–34,7703
2020,6045,White NH,35–64,22361
2020,6045,White NH,65+,17801
2020,6047,AIAN NH,0–18,241
2020,6047,AIAN NH,19–34,248
2020,6047,AIAN NH,35–64,487
2020,6047,AIAN NH,65+,184
2020,6047,Asian NH,0–18,5464
2020,6047,Asian NH,19–34,5856
2020,6047,Asian NH,35–64,6515
2020,6047,Asian NH,65+,2425
2020,6047,Black NH,0–18,2125
2020,6047,Black NH,19–34,1897
2020,6047,Black NH,35–64,2986
2020,6047,Black NH,65+,1244
2020,6047,Hispanic,0–18,75495
2020,6047,Hispanic,19–34,48372
2020,6047,Hispanic,35–64,58499
2020,6047,Hispanic,65+,12307
2020,6047,MR NH,0–18,3403
2020,6047,MR NH,19–34,1738
2020,6047,MR NH,35–64,1906
2020,6047,MR NH,65+,538
2020,6047,NHPI NH,0–18,161
2020,6047,NHPI NH,19–34,129
2020,6047,NHPI NH,35–64,233
2020,6047,NHPI NH,65+,83
2020,6047,White NH,0–18,13959
2020,6047,White NH,19–34,12545
2020,6047,White NH,35–64,27574
2020,6047,White NH,65+,15407
2020,6049,AIAN NH,0–18,108
2020,6049,AIAN NH,19–34,63
2020,6049,AIAN NH,35–64,142
2020,6049,AIAN NH,65+,74
2020,6049,Asian NH,0–18,4
2020,6049,Asian NH,19–34,11
2020,6049,Asian NH,35–64,25
2020,6049,Asian NH,65+,23
2020,6049,Black NH,0–18,19
2020,6049,Black NH,19–34,16
2020,6049,Black NH,35–64,17
2020,6049,Black NH,65+,14
2020,6049,Hispanic,0–18,927
2020,6049,Hispanic,19–34,443
2020,6049,Hispanic,35–64,584
2020,6049,Hispanic,65+,150
2020,6049,MR NH,0–18,132
2020,6049,MR NH,19–34,104
2020,6049,MR NH,35–64,127
2020,6049,MR NH,65+,49
2020,6049,NHPI NH,0–18,3
2020,6049,NHPI NH,19–34,1
2020,6049,NHPI NH,35–64,8
2020,6049,NHPI NH,65+,1
2020,6049,White NH,0–18,1171
2020,6049,White NH,19–34,848
2020,6049,White NH,35–64,2438
2020,6049,White NH,65+,2007
2020,6051,AIAN NH,0–18,38
2020,6051,AIAN NH,19–34,28
2020,6051,AIAN NH,35–64,88
2020,6051,AIAN NH,65+,23
2020,6051,Asian NH,0–18,20
2020,6051,Asian NH,19–34,31
2020,6051,Asian NH,35–64,88
2020,6051,Asian NH,65+,20
2020,6051,Black NH,0–18,13
2020,6051,Black NH,19–34,32
2020,6051,Black NH,35–64,19
2020,6051,Black NH,65+,4
2020,6051,Hispanic,0–18,1342
2020,6051,Hispanic,19–34,1130
2020,6051,Hispanic,35–64,988
2020,6051,Hispanic,65+,214
2020,6051,MR NH,0–18,147
2020,6051,MR NH,19–34,131
2020,6051,MR NH,35–64,187
2020,6051,MR NH,65+,36
2020,6051,NHPI NH,0–18,1
2020,6051,NHPI NH,19–34,19
2020,6051,NHPI NH,35–64,6
2020,6051,NHPI NH,65+,0
2020,6051,White NH,0–18,1396
2020,6051,White NH,19–34,1721
2020,6051,White NH,35–64,3804
2020,6051,White NH,65+,1842
2020,6053,AIAN NH,0–18,186
2020,6053,AIAN NH,19–34,305
2020,6053,AIAN NH,35–64,563
2020,6053,AIAN NH,65+,287
2020,6053,Asian NH,0–18,4175
2020,6053,Asian NH,19–34,4933
2020,6053,Asian NH,35–64,10763
2020,6053,Asian NH,65+,5521
2020,6053,Black NH,0–18,1540
2020,6053,Black NH,19–34,2115
2020,6053,Black NH,35–64,4228
2020,6053,Black NH,65+,1253
2020,6053,Hispanic,0–18,99072
2020,6053,Hispanic,19–34,64083
2020,6053,Hispanic,35–64,85335
2020,6053,Hispanic,65+,16146
2020,6053,MR NH,0–18,5231
2020,6053,MR NH,19–34,3734
2020,6053,MR NH,35–64,3948
2020,6053,MR NH,65+,1206
2020,6053,NHPI NH,0–18,301
2020,6053,NHPI NH,19–34,451
2020,6053,NHPI NH,35–64,850
2020,6053,NHPI NH,65+,296
2020,6053,White NH,0–18,17506
2020,6053,White NH,19–34,22040
2020,6053,White NH,35–64,46730
2020,6053,White NH,65+,35107
2020,6055,AIAN NH,0–18,68
2020,6055,AIAN NH,19–34,99
2020,6055,AIAN NH,35–64,235
2020,6055,AIAN NH,65+,113
2020,6055,Asian NH,0–18,2109
2020,6055,Asian NH,19–34,2152
2020,6055,Asian NH,35–64,4596
2020,6055,Asian NH,65+,1774
2020,6055,Black NH,0–18,457
2020,6055,Black NH,19–34,486
2020,6055,Black NH,35–64,1007
2020,6055,Black NH,65+,362
2020,6055,Hispanic,0–18,16339
2020,6055,Hispanic,19–34,11862
2020,6055,Hispanic,35–64,15970
2020,6055,Hispanic,65+,3120
2020,6055,MR NH,0–18,2175
2020,6055,MR NH,19–34,1373
2020,6055,MR NH,35–64,1600
2020,6055,MR NH,65+,575
2020,6055,NHPI NH,0–18,87
2020,6055,NHPI NH,19–34,71
2020,6055,NHPI NH,35–64,132
2020,6055,NHPI NH,65+,43
2020,6055,White NH,0–18,9804
2020,6055,White NH,19–34,10191
2020,6055,White NH,35–64,28537
2020,6055,White NH,65+,20989
2020,6057,AIAN NH,0–18,142
2020,6057,AIAN NH,19–34,106
2020,6057,AIAN NH,35–64,262
2020,6057,AIAN NH,65+,181
2020,6057,Asian NH,0–18,219
2020,6057,Asian NH,19–34,207
2020,6057,Asian NH,35–64,617
2020,6057,Asian NH,65+,330
2020,6057,Black NH,0–18,94
2020,6057,Black NH,19–34,96
2020,6057,Black NH,35–64,180
2020,6057,Black NH,65+,58
2020,6057,Hispanic,0–18,4458
2020,6057,Hispanic,19–34,3022
2020,6057,Hispanic,35–64,4677
2020,6057,Hispanic,65+,1361
2020,6057,MR NH,0–18,2164
2020,6057,MR NH,19–34,1226
2020,6057,MR NH,35–64,1662
2020,6057,MR NH,65+,744
2020,6057,NHPI NH,0–18,32
2020,6057,NHPI NH,19–34,26
2020,6057,NHPI NH,35–64,51
2020,6057,NHPI NH,65+,29
2020,6057,White NH,0–18,13259
2020,6057,White NH,19–34,11086
2020,6057,White NH,35–64,33089
2020,6057,White NH,65+,26016
2020,6059,AIAN NH,0–18,936
2020,6059,AIAN NH,19–34,1232
2020,6059,AIAN NH,35–64,2309
2020,6059,AIAN NH,65+,900
2020,6059,Asian NH,0–18,151838
2020,6059,Asian NH,19–34,141171
2020,6059,Asian NH,35–64,300142
2020,6059,Asian NH,65+,110362
2020,6059,Black NH,0–18,9876
2020,6059,Black NH,19–34,12596
2020,6059,Black NH,35–64,21519
2020,6059,Black NH,65+,5919
2020,6059,Hispanic,0–18,371153
2020,6059,Hispanic,19–34,292150
2020,6059,Hispanic,35–64,364513
2020,6059,Hispanic,65+,68234
2020,6059,MR NH,0–18,54394
2020,6059,MR NH,19–34,31178
2020,6059,MR NH,35–64,31527
2020,6059,MR NH,65+,8144
2020,6059,NHPI NH,0–18,1653
2020,6059,NHPI NH,19–34,1833
2020,6059,NHPI NH,35–64,3501
2020,6059,NHPI NH,65+,874
2020,6059,White NH,0–18,201042
2020,6059,White NH,19–34,225961
2020,6059,White NH,35–64,509155
2020,6059,White NH,65+,274063
2020,6061,AIAN NH,0–18,391
2020,6061,AIAN NH,19–34,388
2020,6061,AIAN NH,35–64,874
2020,6061,AIAN NH,65+,393
2020,6061,Asian NH,0–18,8690
2020,6061,Asian NH,19–34,5449
2020,6061,Asian NH,35–64,15951
2020,6061,Asian NH,65+,5123
2020,6061,Black NH,0–18,1368
2020,6061,Black NH,19–34,1445
2020,6061,Black NH,35–64,2800
2020,6061,Black NH,65+,911
2020,6061,Hispanic,0–18,28563
2020,6061,Hispanic,19–34,16840
2020,6061,Hispanic,35–64,25085
2020,6061,Hispanic,65+,6310
2020,6061,MR NH,0–18,12025
2020,6061,MR NH,19–34,5360
2020,6061,MR NH,35–64,6568
2020,6061,MR NH,65+,1408
2020,6061,NHPI NH,0–18,195
2020,6061,NHPI NH,19–34,195
2020,6061,NHPI NH,35–64,462
2020,6061,NHPI NH,65+,147
2020,6061,White NH,0–18,55344
2020,6061,White NH,19–34,42264
2020,6061,White NH,35–64,112146
2020,6061,White NH,65+,64943
2020,6063,AIAN NH,0–18,79
2020,6063,AIAN NH,19–34,65
2020,6063,AIAN NH,35–64,162
2020,6063,AIAN NH,65+,64
2020,6063,Asian NH,0–18,40
2020,6063,Asian NH,19–34,28
2020,6063,Asian NH,35–64,70
2020,6063,Asian NH,65+,31
2020,6063,Black NH,0–18,31
2020,6063,Black NH,19–34,26
2020,6063,Black NH,35–64,52
2020,6063,Black NH,65+,17
2020,6063,Hispanic,0–18,981
2020,6063,Hispanic,19–34,653
2020,6063,Hispanic,35–64,1006
2020,6063,Hispanic,65+,321
